Username,Comment
@carlosrivas2120,EncicTomaschico
@lajosjuhasz4523,vladislav doronin naomi campbell's exfriend stay behind it. if knew covid then this too.
@Tsunami_Japan_,Made in Hollywood! https://www.youtube.com/watch?v=XzqhDhXgYV0
@RileyVR_12,This is such a messed up world
@robertberia6762,Its strange seeing Rudy leading like this considering where he is now.
@jandjeaster,God bless America
@SammyPlays..,Today is the 22nd year of 9/11 may Rest In Peace all of the people
@lindas1574,I worked night shift Sept 10 in ICU. It was one of 'those' nights and I was exhausted when I got home the morining of Sept 11. So i went straight to bed. I was going to have to go back for another shift at 7:PM. My husband woke me at 3 and told me this fantastic tale about airplanes flying into the Twin Towers. Ha ha. Funny man. But he was not joking. I will never forget the cold that washed over me as I saw the news reports and the replays of the events that morning.
@ninjapurpura1,Again
@El-vi6lg,"Still haunts me to this day. I always remember. In my homeland, Poland, the whole country went into a state of shock, disbelief and utter devastated tears- for us, this event reminded us of the Nazi attack on our nation in 1939. The whole country was in grief. It was an attack on the whole civilized world and an atack on us all who love and will fight for FREEDOM. OUR HEARTS BROKE THAT DAY. WE love America and we love freedom.God Bless all the victims and their loved ones."
@user-tp2yj5id2k,I wish I could fix that. I fix shit like this for a living. Mafioso. Italian. But we can not fix this... Our concern is still with those families that lost their loved ones due to this tragedy. I am retired from activity with my underworld. I'm old but feel how it is to suffer emphatically.
@0python0,imagine watching this in 2x speed
@kevinfagen5865,"Saudi Arabia: America's greatest ally, or just a friend?"
@kurochan9130,This so heart breaking
@marikokawaguchi443,DON'T LOOK BACK
@lordoreocat,"This is horrifying. This is what humans do to each other. We kill each other. We torture each other. We starve each other. I don't see other animals doing this. What people do to other people disgusts me. Why do we do it? For revenge? For land? For victory? Because others have a different set of beliefs? For even the dumbest and stupidest reasons we do these things. May all those souls rest in peace. I am an atheist, but I hope they are doing okay if there is a heaven or another world. Though it is over, people still mourn the humans that died in that building. They mourn their loved ones or even people they do not know.."
@AtomicAxolotl6787,"I would've loved to see the twin towers, I am very sad they are gone now"
@ernestandrews2206,"If this was investigated properly then it would have called it a demolition because it impossible if something is hit at the top as the towers were hit to crumble as it did , to me it is not terrorists that hit the twin towers but your own government"
@catherinedetrizio7312,"I pray for those who lost their lives in this terrible tragedy ... A war on the citizens of the United states... I'm not sure who could do this to innocent people, but if they couldnonly see that human lives are precious, and terror, tragedy, hate must come to an end."
@kennerfee100,"i was 3 when this happened. somehow, i remember being in pre-school watching tv and seeing the two towers burning. my teacher was scared and the other kids were scared, except this one kid was laughing becuz he saw a plane and the buildings go down. i was traumatized and we were just trying to watch whatever kids were watching on the tv, i dont remember."
@Boombastic10610,"Fun fact, Seth MacFarlane booked a flight on the first plane that hit the World Trade Center. He had gotten so drunk on the night of September 10, 2001 that he was hungover and overslept. It kind of saved his life"
@lynncarnegievogl8220,I worked at a hospital st that time and we were preparing to receive peole. But no one made it. My son was in school down there further east but i still worried. The smell lingered for days - burning meat. Truly sad day.
@windscreen9192,"this is obviously demolition site, not a plane crash damage to buildings. both tower falls down in the middle of the city when the damage is on the top floor? doesn't make sense. it's inside job."
@elireishere,"My aunt was in vacation in New York City at the time, she's from the United Kingdom. It was probably for the best that she slept in that day."
@Lollylobesjewellery,I was a young teen I remember this so sad
@jheckpardo-pi4bd,i totally forgot that was happen in real life when i saw doctor strange in 3:54
@brucehill3690,See how kgb
@hasantekeli1859,Big lie .big scammer
@alhassanyahya219,The big hoax for Arab countries
